item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
elicit_geo::workflow::transformations_plugin::skew_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::skew_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::smooth_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::smooth_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::translate_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::translate_point_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::transformations_plugin::translate_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::GeoValidationPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::GeometryTypeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::LinestringCoordsCountParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::LinestringIsClosedParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::LinestringIsConvexParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::PolygonCoordsCountParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::PolygonExteriorCoordsCountParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::ValidationChecked,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::geometry_type_name_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::linestring_coords_count_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::linestring_is_closed_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::linestring_is_convex_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::polygon_coords_count_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::validation_plugin::polygon_exterior_coords_count_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::FrechetDistanceParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::GeoWorkflowPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::GeodesicLengthLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::HaversineLengthLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::LineInterpolatePointParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::LineLocatePointParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::NearestPointOnLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::PointInPolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::PolygonExteriorLengthParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::PolygonInteriorPointParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::RemoveRepeatedPointsPolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::WorkflowCompleted,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::frechet_distance_linestrings_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::geodesic_length_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::haversine_length_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::line_interpolate_point_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::line_locate_point_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::nearest_point_on_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::point_in_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::polygon_exterior_length_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::polygon_interior_point_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::workflow_plugin::remove_repeated_points_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
geo::GeoFloat,Trait,Missing,,,,,,,
geo::GeoNum,Trait,Missing,,,,,,,
geo::algorithm::affine_ops::AffineOps,Trait,Missing,,,,,,,
geo::algorithm::affine_ops::AffineTransform,Struct,Missing,,,,,,,
geo::algorithm::area::Area,Trait,Missing,,,,,,,
geo::algorithm::ball_tree::BallTree,Struct,Missing,,,,,,,
geo::algorithm::ball_tree::BallTreeBuilder,Struct,Missing,,,,,,,
geo::algorithm::ball_tree::BallTreePoint,Trait,Missing,,,,,,,
geo::algorithm::ball_tree::NearestNeighbour,Struct,Missing,,,,,,,
geo::algorithm::ball_tree::PointWithData,Struct,Missing,,,,,,,
geo::algorithm::bool_ops::BooleanOps,Trait,Missing,,,,,,,
geo::algorithm::bool_ops::OpType,Enum,Missing,,,,,,,
geo::algorithm::bool_ops::i_overlay_integration::BoolOpsCoord,Struct,Missing,,,,,,,
geo::algorithm::bool_ops::i_overlay_integration::BoolOpsNum,Trait,Missing,,,,,,,
geo::algorithm::bool_ops::unary_union,Function,Missing,,,,,,,
geo::algorithm::bounding_rect::BoundingRect,Trait,Missing,,,,,,,
