item_path,item_kind,status,shadow_item,drift_confidence,notes
bevy_asset::meta::_::deserialize::visit_enum::__Field,Enum,Missing,,,
bevy_asset::meta::_::deserialize::visit_enum::__Field,Enum,Missing,,,
bevy_asset::meta::_::deserialize::visit_enum::__FieldVisitor,Struct,Missing,,,
bevy_asset::meta::_::deserialize::visit_enum::__FieldVisitor,Struct,Missing,,,
bevy_asset::meta::_::deserialize::visit_enum::__FieldVisitor,Struct,Missing,,,
bevy_asset::meta::_::deserialize::visit_enum::__FieldVisitor,Struct,Missing,,,
bevy_asset::meta::_::deserialize::visit_enum::__Visitor,Struct,Missing,,,
bevy_asset::meta::_::deserialize::visit_enum::__Visitor,Struct,Missing,,,
bevy_asset::meta::_::deserialize::visit_enum::__Visitor,Struct,Missing,,,
bevy_asset::meta::_::deserialize::visit_enum::__Visitor,Struct,Missing,,,
bevy_asset::path::AssetPath,Struct,Missing,,,
bevy_asset::path::AssetPathVisitor,Struct,Missing,,,
bevy_asset::path::ParseAssetPathError,Enum,Missing,,,
bevy_asset::processor::AssetProcessor,Struct,Missing,,,
bevy_asset::processor::GetProcessorError,Enum,Missing,,,
bevy_asset::processor::InitializeError,Enum,Missing,,,
bevy_asset::processor::InstrumentedAssetProcessor,Struct,Missing,,,
bevy_asset::processor::ProcessResult,Enum,Missing,,,
bevy_asset::processor::ProcessStatus,Enum,Missing,,,
bevy_asset::processor::ProcessorAssetInfo,Struct,Missing,,,
bevy_asset::processor::ProcessorAssetInfos,Struct,Missing,,,
bevy_asset::processor::ProcessorState,Enum,Missing,,,
bevy_asset::processor::Processors,Struct,Missing,,,
bevy_asset::processor::SetTransactionLogFactoryError,Enum,Missing,,,
bevy_asset::processor::log::FileProcessorTransactionLog,Struct,Missing,,,
bevy_asset::processor::log::FileTransactionLogFactory,Struct,Missing,,,
bevy_asset::processor::log::LogEntry,Enum,Missing,,,
bevy_asset::processor::log::LogEntryError,Enum,Missing,,,
bevy_asset::processor::log::ReadLogError,Enum,Missing,,,
bevy_asset::processor::log::ValidateLogError,Enum,Missing,,,
bevy_asset::processor::log::WriteLogError,Struct,Missing,,,
bevy_asset::processor::process::LoadTransformAndSave,Struct,Missing,,,
bevy_asset::processor::process::LoadTransformAndSaveSettings,Struct,Missing,,,
bevy_asset::processor::process::ProcessContext,Struct,Missing,,,
bevy_asset::processor::process::ProcessError,Enum,Missing,,,
bevy_asset::processor::process::_::deserialize::__Field,Enum,Missing,,,
bevy_asset::processor::process::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy_asset::processor::process::_::deserialize::__Visitor,Struct,Missing,,,
bevy_asset::reflect::ReflectAsset,Struct,Missing,,,
bevy_asset::reflect::ReflectHandle,Struct,Missing,,,
bevy_asset::render_asset::RenderAssetUsages,Struct,Missing,,,
bevy_asset::render_asset::_::InternalBitFlags,Struct,Missing,,,
bevy_asset::render_asset::_::deserialize::__Visitor,Struct,Missing,,,
bevy_asset::saver::SavedAsset,Struct,Missing,,,
bevy_asset::server::AddAsyncError,Struct,Missing,,,
bevy_asset::server::AssetLoadError,Enum,Missing,,,
bevy_asset::server::AssetLoaderError,Struct,Missing,,,
bevy_asset::server::AssetServer,Struct,Missing,,,
bevy_asset::server::AssetServerMode,Enum,Missing,,,
bevy_asset::server::DependencyLoadState,Enum,Missing,,,
bevy_asset::server::LoadState,Enum,Covered,elicit_bevy::asset::LoadState,,
bevy_asset::server::MissingAssetLoaderForExtensionError,Struct,Missing,,,
bevy_asset::server::MissingAssetLoaderForTypeIdError,Struct,Missing,,,
bevy_asset::server::MissingAssetLoaderForTypeNameError,Struct,Missing,,,
bevy_asset::server::RecursiveDependencyLoadState,Enum,Covered,elicit_bevy::asset::RecursiveDependencyLoadState,,
bevy_asset::server::WaitForAssetError,Enum,Missing,,,
bevy_asset::server::WriteDefaultMetaError,Enum,Missing,,,
bevy_asset::server::info::AssetInfo,Struct,Missing,,,
bevy_asset::server::info::AssetInfos,Struct,Missing,,,
bevy_asset::server::info::AssetServerStats,Struct,Missing,,,
